16:39:49.530413 IP6 asus.mdns > ff02::fb.mdns: 0 [9q] PTR (QM)? _nfs._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _ftp._tcp.local. PTR (QM)? _webdav._tcp.local. PTR (QM)? _webdavs._tcp.local. PTR (QM)? _sftp-ssh._tcp.local. PTR (QM)? _smb._tcp.local. PTR (QM)? _afpovertcp._tcp.local. (141)
16:39:56.854126 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.854746 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.855366 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.855985 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.856606 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.857225 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.857845 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.858467 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.859091 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.859711 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.860304 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.860929 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.861549 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.862172 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.862792 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.863411 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.864031 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.864652 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.865271 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.865892 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.866511 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
